Pollinator Library ID,Determined By,Order,Family,Genus,Species,Origin Facility,Date,Time,Collected By,Plant Order,Plant Family,Plant Genus,Plant Species,Land Use,State Collected,County Collected,Elevation (m),Longitude,Latitude,Average Wind Speed (km/h),Air temperature (°C),Relative Humidity (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_142,Sam O'Dell,Hymenoptera,Apidae,Bombus,griseocollis,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Rosales,Rosaceae,Spiraea,alba,National Wildlife Refuge,North Dakota,Benson,486,-99.00,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_143,Sam O'Dell,Hymenoptera,Apidae,Bombus,rufocinctus,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Rosales,Rosaceae,Spiraea,alba,National Wildlife Refuge,North Dakota,Benson,488,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_144,Sam O'Dell,Hymenoptera,Apidae,Bombus,griseocollis,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Rosales,Rosaceae,Spiraea,alba,National Wildlife Refuge,North Dakota,Benson,488,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_145,Sam O'Dell,Hymenoptera,Apidae,Bombus,griseocollis,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Rosales,Rosaceae,Spiraea,alba,National Wildlife Refuge,North Dakota,Benson,487,-99.00,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_146,Sam O'Dell,Hymenoptera,Apidae,Bombus,rufocinctus,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Fabales,Fabaceae,Dalea,purpurea,National Wildlife Refuge,North Dakota,Benson,475,-98.99,47.97,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_147,Sam O'Dell,Hymenoptera,Apidae,Bombus,bimaculatus,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Fabales,Fabaceae,Dalea,purpurea,National Wildlife Refuge,North Dakota,Benson,475,-98.99,47.97,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_148,Sam O'Dell,Hymenoptera,Apidae,Bombus,rufocinctus,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Fabales,Fabaceae,Dalea,purpurea,National Wildlife Refuge,North Dakota,Benson,475,-98.99,47.97,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_149,Sam O'Dell,Hymenoptera,Apidae,Bombus,ternarius,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Fabales,Fabaceae,Dalea,purpurea,National Wildlife Refuge,North Dakota,Benson,475,-98.99,47.97,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_150,Sam O'Dell,Hymenoptera,Apidae,Bombus,ternarius,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Fabales,Fabaceae,Dalea,purpurea,National Wildlife Refuge,North Dakota,Benson,486,-99.00,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_151,Sam O'Dell,Hymenoptera,Apidae,Melissodes,trinodis,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Asterales,Asteraceae,Helianthus,pauciflorus,National Wildlife Refuge,North Dakota,Benson,480,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_152,Sam O'Dell,Hymenoptera,Andrenidae,Andrena,sp.,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Asterales,Asteraceae,Helianthus,pauciflorus,National Wildlife Refuge,North Dakota,Benson,487,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_153,Sam O'Dell,Hymenoptera,Apidae,Melissodes,trinodis,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Asterales,Asteraceae,Helianthus,pauciflorus,National Wildlife Refuge,North Dakota,Benson,488,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_154,Sam O'Dell,Hymenoptera,Apidae,Melissodes,trinodis,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Asterales,Asteraceae,Helianthus,pauciflorus,National Wildlife Refuge,North Dakota,Benson,489,-99.00,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_155,Sam O'Dell,Hymenoptera,Apidae,Bombus,ternarius,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Dipsacales,Caprifoliaceae,Symphoricarpos,occidentalis,National Wildlife Refuge,North Dakota,Benson,482,-99.00,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_156,Sam O'Dell,Hymenoptera,Apidae,Bombus,rufocinctus,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Dipsacales,Caprifoliaceae,Symphoricarpos,occidentalis,National Wildlife Refuge,North Dakota,Benson,491,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_157,Sam O'Dell,Hymenoptera,Apidae,Bombus,borealis,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Dipsacales,Caprifoliaceae,Symphoricarpos,occidentalis,National Wildlife Refuge,North Dakota,Benson,487,-99.00,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_158,Sam O'Dell,Diptera,Syrphidae,Eristalis,anthophorina,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Dipsacales,Caprifoliaceae,Symphoricarpos,occidentalis,National Wildlife Refuge,North Dakota,Benson,493,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_159,Sam O'Dell,Hymenoptera,Apidae,Bombus,vagans,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Lamiales,Lamiaceae,Monarda,fistulosa,National Wildlife Refuge,North Dakota,Benson,480,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_160,Sam O'Dell,Hymenoptera,Apidae,Bombus,griseocollis,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Lamiales,Lamiaceae,Monarda,fistulosa,National Wildlife Refuge,North Dakota,Benson,487,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_161,Sam O'Dell,Hymenoptera,Apidae,Bombus,vagans,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Lamiales,Lamiaceae,Monarda,fistulosa,National Wildlife Refuge,North Dakota,Benson,487,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_162,Sam O'Dell,Hymenoptera,Apidae,Anthophora,walshii,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Lamiales,Lamiaceae,Monarda,fistulosa,National Wildlife Refuge,North Dakota,Benson,483,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_163,Sam O'Dell,Hymenoptera,Apidae,Bombus,griseocollis,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Lamiales,Lamiaceae,Monarda,fistulosa,National Wildlife Refuge,North Dakota,Benson,483,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_164,Sam O'Dell,Hymenoptera,Apidae,Bombus,vagans,Northern Prairie Wildlife Research Center,20130805,N/A,Russ Bryant,Lamiales,Lamiaceae,Monarda,fistulosa,National Wildlife Refuge,North Dakota,Benson,491,-98.99,47.96,8,21,64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_165,Sam O'Dell,Hymenoptera,Apidae,Melissodes,trinodis,Northern Prairie Wildlife Research Center,20130812,N/A,Russ Bryant,Asterales,Asteraceae,Lactuca,tatarica,National Wildlife Refuge,North Dakota,Stutsman,480,-98.86,47.21,4,24,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_166,Sam O'Dell,Hymenoptera,Andrenidae,Andrena,sp.,Northern Prairie Wildlife Research Center,20130812,N/A,Russ Bryant,Asterales,Asteraceae,Solidago,canadensis,National Wildlife Refuge,North Dakota,Stutsman,465,-98.86,47.21,4,24,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_167,Sam O'Dell,Hymenoptera,Apidae,Bombus,vagans,Northern Prairie Wildlife Research Center,20130812,N/A,Russ Bryant,Asterales,Asteraceae,Cirsium,undulatum,National Wildlife Refuge,North Dakota,Stutsman,464,-98.86,47.21,4,24,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_168,Sam O'Dell,Hymenoptera,Apidae,Melissodes,trinodis,Northern Prairie Wildlife Research Center,20130812,N/A,Russ Bryant,Asterales,Asteraceae,Cirsium,undulatum,National Wildlife Refuge,North Dakota,Stutsman,462,-98.86,47.21,4,24,53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_169,Sam O'Dell,Hymenoptera,Apidae,Melissodes,trinodis,Northern Prairie Wildlife Research Center,20130813,N/A,Russ Bryant,Asterales,Asteraceae,Cirsium,arvense,Conservation Reserve Program,North Dakota,Stutsman,467,-98.90,47.32,5,21,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_170,Sam O'Dell,Hymenoptera,Apidae,Melissodes,trinodis,Northern Prairie Wildlife Research Center,20130813,N/A,Russ Bryant,Asterales,Asteraceae,Cirsium,arvense,Conservation Reserve Program,North Dakota,Stutsman,468,-98.90,47.32,5,21,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_171,Sam O'Dell,Diptera,Syrphidae,Eristalis,stipator,Northern Prairie Wildlife Research Center,20130813,N/A,Russ Bryant,Asterales,Asteraceae,Cirsium,arvense,Conservation Reserve Program,North Dakota,Stutsman,468,-98.89,47.32,5,21,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_172,Sam O'Dell,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20130813,N/A,Russ Bryant,Asterales,Asteraceae,Sonchus,arvensis,Conservation Reserve Program,North Dakota,Stutsman,467,-98.90,47.32,5,21,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_173,Sam O'Dell,Hymenoptera,Apidae,Melissodes,trinodis,Northern Prairie Wildlife Research Center,20130813,N/A,Russ Bryant,Asterales,Asteraceae,Sonchus,arvensis,Conservation Reserve Program,North Dakota,Stutsman,468,-98.90,47.32,5,21,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_174,Sam O'Dell,Hymenoptera,Apidae,Melissodes,trinodis,Northern Prairie Wildlife Research Center,20130813,N/A,Russ Bryant,Asterales,Asteraceae,Sonchus,arvensis,Conservation Reserve Program,North Dakota,Stutsman,468,-98.89,47.32,5,21,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_175,Sam O'Dell,Hymenoptera,Apidae,Melissodes,agilis,Northern Prairie Wildlife Research Center,20130813,N/A,Russ Bryant,Asterales,Asteraceae,Sonchus,arvensis,Conservation Reserve Program,North Dakota,Stutsman,468,-98.89,47.32,5,21,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_176,Sam O'Dell,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20130813,N/A,Russ Bryant,Asterales,Asteraceae,Sonchus,arvensis,Conservation Reserve Program,North Dakota,Stutsman,468,-98.89,47.32,5,21,59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_177,Sam O'Dell,Hymenoptera,Pompilidae,N/A,N/A,Northern Prairie Wildlife Research Center,20130821,N/A,Russ Bryant,Asterales,Asteraceae,Solidago,canadensis,National Wildlife Refuge,North Dakota,Benson,489,-99.00,47.96,6,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_178,Sam O'Dell,Hymenoptera,Apidae,Bombus,ternarius,Northern Prairie Wildlife Research Center,20130821,N/A,Russ Bryant,Asterales,Asteraceae,Solidago,canadensis,National Wildlife Refuge,North Dakota,Benson,488,-98.99,47.96,6,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_179,Sam O'Dell,Hymenoptera,Halictidae,Halictus,confusus,Northern Prairie Wildlife Research Center,20130821,N/A,Russ Bryant,Asterales,Asteraceae,Solidago,canadensis,National Wildlife Refuge,North Dakota,Benson,487,-99.00,47.96,6,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_180,Sam O'Dell,Diptera,Syrphidae,Eristalis,stipator,Northern Prairie Wildlife Research Center,20130821,N/A,Russ Bryant,Asterales,Asteraceae,Solidago,canadensis,National Wildlife Refuge,North Dakota,Benson,482,-99.00,47.96,6,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_181,Sam O'Dell,Diptera,Bombyliidae,Poecilanthrax,sp.,Northern Prairie Wildlife Research Center,20130821,N/A,Russ Bryant,Asterales,Asteraceae,Solidago,canadensis,National Wildlife Refuge,North Dakota,Benson,482,-99.00,47.96,6,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_182,Sam O'Dell,Diptera,Bombyliidae,Paravilla,sp.,Northern Prairie Wildlife Research Center,20130821,N/A,Russ Bryant,Asterales,Asteraceae,Helianthus,pauciflorus,National Wildlife Refuge,North Dakota,Benson,487,-98.99,47.96,6,25,38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_183,Sam O'Dell,Hymenoptera,Apidae,Bombus,ternarius,Northern Prairie Wildlife Research Center,20130822,N/A,Russ Bryant,Asterales,Asteraceae,Solidago,canadensis,National Wildlife Refuge,North Dakota,Benson,483,-98.99,47.96,3,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_184,Sam O'Dell,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20130822,N/A,Russ Bryant,Asterales,Asteraceae,Solidago,canadensis,National Wildlife Refuge,North Dakota,Benson,486,-99.00,47.96,3,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_185,Sam O'Dell,Diptera,Tachinidae,Onychogonia,sp.,Northern Prairie Wildlife Research Center,20130822,N/A,Russ Bryant,Asterales,Asteraceae,Solidago,canadensis,National Wildlife Refuge,North Dakota,Benson,486,-99.00,47.96,3,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_186,Sam O'Dell,Hymenoptera,Apidae,Ceratina,calcarata/dupla,Northern Prairie Wildlife Research Center,20130822,N/A,Russ Bryant,Asterales,Asteraceae,Heterotheca,villosa,National Wildlife Refuge,North Dakota,Benson,487,-99.00,47.96,3,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_187,Sam O'Dell,Hymenoptera,Halictidae,Dufourea,marginata,Northern Prairie Wildlife Research Center,20130822,N/A,Russ Bryant,Asterales,Asteraceae,Helianthus,pauciflorus,National Wildlife Refuge,North Dakota,Benson,482,-99.00,47.96,3,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_188,Sam O'Dell,Hymenoptera,Halictidae,Dufourea,marginata,Northern Prairie Wildlife Research Center,20130822,N/A,Russ Bryant,Asterales,Asteraceae,Helianthus,pauciflorus,National Wildlife Refuge,North Dakota,Benson,490,-99.00,47.96,3,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_189,Sam O'Dell,Hymenoptera,Halictidae,Dufourea,marginata,Northern Prairie Wildlife Research Center,20130822,N/A,Russ Bryant,Asterales,Asteraceae,Helianthus,pauciflorus,National Wildlife Refuge,North Dakota,Benson,489,-99.00,47.96,3,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_190,Sam O'Dell,Hymenoptera,Megachilidae,Megachile,latimanus,Northern Prairie Wildlife Research Center,20130822,N/A,Russ Bryant,Asterales,Asteraceae,Helianthus,pauciflorus,National Wildlife Refuge,North Dakota,Benson,489,-99.00,47.96,3,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_191,Sam O'Dell,Diptera,Bombyliidae,Poecilanthrax,sp.,Northern Prairie Wildlife Research Center,20130822,N/A,Russ Bryant,Asterales,Asteraceae,Helianthus,pauciflorus,National Wildlife Refuge,North Dakota,Benson,483,-99.00,47.96,3,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_192,Sam O'Dell,Diptera,Syrphidae,Eristalis,stipator,Northern Prairie Wildlife Research Center,20130822,N/A,Russ Bryant,Asterales,Asteraceae,Helianthus,pauciflorus,National Wildlife Refuge,North Dakota,Benson,483,-99.00,47.96,3,25,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_193,Sam O'Dell,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20130903,N/A,Russ Bryant,Asterales,Asteraceae,Sonchus,arvensis,Conservation Reserve Program,North Dakota,Stutsman,468,-98.89,47.32,4,24,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_194,Sam O'Dell,Hymenoptera,Halictidae,Halictus,confusus,Northern Prairie Wildlife Research Center,20130904,N/A,Russ Bryant,Asterales,Asteraceae,Sonchus,arvensis,Conservation Reserve Program,North Dakota,Stutsman,469,-98.89,47.32,8,23,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_195,Sam O'Dell,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20130904,N/A,Russ Bryant,Asterales,Asteraceae,Sonchus,arvensis,Conservation Reserve Program,North Dakota,Stutsman,468,-98.89,47.32,8,23,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_196,Sam O'Dell,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20130923,N/A,Russ Bryant,Asterales,Asteraceae,Sonchus,arvensis,Conservation Reserve Program,North Dakota,Stutsman,469,-98.89,47.32,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013ND_197,Sam O'Dell,Hymenoptera,Halictidae,Lasioglossum,sp.,Northern Prairie Wildlife Research Center,20130923,N/A,Russ Bryant,Asterales,Asteraceae,Sonchus,arvensis,Conservation Reserve Program,North Dakota,Stutsman,468,-98.89,47.32,N/A,N/A,N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013TX_001,Sam O'Dell,Hymenoptera,Ichneumonidae,N/A,N/A,Oklahoma State University,20130415,8:30,Angela Begosh,Capparales,Brassicaceae,Rorippa,sinuata,Rangeland,Texas,Gray,974,-100.90,34.09,12,8,42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013TX_002,Sam O'Dell,Diptera,Heleomyzidae,N/A,N/A,Oklahoma State University,20130415,8:45,Angela Begosh,Capparales,Brassicaceae,Erysimum,repandum,Rangeland,Texas,Gray,971,-100.90,35.26,17,8,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2013TX_003,Sam O'Dell,Diptera,Sarcophagidae,Ravinia,sp.,Oklahoma State University,20130415,8:45,Angela Begosh,Capparales,Brassicaceae,Erysimum,repandum,Rangeland,Texas,Gray,971,-100.90,35.26,17,8,39,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
