Pollinator Library ID,Determined By,Order,Family,Genus,Species,Origin Facility,Date,Time,Collected By,Plant Order,Plant Family,Plant Genus,Plant Species,Land Use,State Collected,County Collected,Elevation (m),Longitude,Latitude,Average Wind Speed (km/h),Air temperature (°C),Relative Humidity (%),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_013,Sara Clark,Diptera,Stratiomyidae,Stratiomys,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_014,Sara Clark,Diptera,Stratiomyidae,Odontomyia,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_015,Sara Clark,Diptera,Stratiomyidae,Odontomyia,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_016,Sara Clark,Diptera,Stratiomyidae,Odontomyia,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_017,Sara Clark,Diptera,Stratiomyidae,Odontomyia,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_018,Sara Clark,Diptera,Anthomyiidae,Chiastocheta,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_019,Sara Clark,Diptera,Stratiomyidae,Odontomyia,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,330,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_020,Sara Clark,Diptera,Stratiomyidae,Odontomyia,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,330,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_021,Sara Clark,Diptera,Anthomyiidae,Botanophila,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
01_2012ND_022,Sara Clark,Diptera,Stratiomyidae,Odontomyia,sp.,Northern Prairie Wildlife Research Center,20120605,N/A,Russ Bryant,Apiales,Apiaceae ,Zizia,aurea,National Wildlife Refuge,North Dakota,Richland,329,-96.97,46.07,10,27,36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
